,,,,
,,,,
,,,,
,,,,
    Hooked On Driving - CMP 8/2-3,,,,
Activity,Start Time,WHO,WHERE,Track Map and Passing Rules
,,,,"Group A - Passing in Orange
Group B - Passing in Orange AND BLUE
Group C - Anywhere with a point-by
Group D - Anywhere, point-by preferred but not required

Use your best judgement to be safe
Remember: BE PREDICTABLE, NOT POLITE"
GATE OPENS,7:00 AM,ALL,,
Registration/Tech,7:00-10:00 AM,ALL,Garage 12+24,
Coaches Meeting,7:05-7:20 AM,ALL COACHES - MANDATORY,HOD Trailer,
ALL DRIVER'S MEETING,7:20-7:40 AM,ALL DRIVERS MANDATORY,Garage 12+24,
"Group A, B, C/D Breakout Meetings",7:40-7:50 AM,"Groups A, B, C/D",Follow Group Leads,
Coach + Student Intros,7:50-7:55 AM,Group A and Coaches,Group A Meeting area,
ON TRACK - AM,,,,
,8:00,D,,
,8:20,C,,
,8:40,B,,
,9:00,A,Full Course Yellow - First 2 Laps,
,,,,
,9:30,D,,
,9:50,C,,
,10:10,B,,
,10:30,A,,THANKS TO OUR SPONSORS:
Lunch / Quiet Hour,11:00 AM-12:00 PM,Bring your own / CMP Grill is open,,
,,,,
ON TRACK - PM,12:00,D,,
,12:20,C,,
,12:40,B,,
,1:00,A,,
,1:30,D,,
,1:50,C,,
,2:10,B,,
,2:30,A,,REGISTER FOR UPCOMING HOD-MID-A EVENTS
,3:00-5:00 PM,PARTY MODE,"B+C+D
Use C Pass Rules",
Track Cold - Event End for day - 5:00PM,,,,AUG 9-10 - ROAD ATLANTA
,,,,"SEPT 5-7 - NCCAR; MSF Level 2 + Open Track Friday, Racing for Parkinson's Charity Weekend Sat and Sun"
"* Please note session times can change based on unexpected delays (such as weather, towing cars, etc)",,,,
,,,,Nov 29-30 Virginia International Raceway
* Please return any rental helmets at end of day!,,,,