Hooked On Driving - NCCAR,,,,,
,Activity,Time,WHO,WHERE,Track Map and Passing Rules
,,,,,"Group A - Passing in Orange
Group B - Passing in Orange AND BLUE
Group C - Anywhere with a point-by
Group D - Anywhere, point-by preferred but not required

Use your best judgement to be safe
Remember: BE PREDICTABLE, NOT POLITE"
,GATE OPENS,7:00 AM,ALL,,
,Registration/Tech,7:15 AM - 8:30 AM,ALL,Main Building,
,Coaches Meeting,7:25 AM - 7:45 AM,ALL COACHES - MANDATORY,HOD Trailer,
,ALL DRIVER'S MEETING,7:45 AM - 8:05 AM,ALL DRIVERS MANDATORY,Main Building,
,"Group A, B, C/D Breakout Meetings",8:05 AM - 8:20 AM,"Groups A, B, C/D",Follow Group Leads,
,Coach + Student Intros,8:20 AM - 8:25 AM,A drivers + Coaches,Group A Meeting area,
,,8:35 AM - 9:10 AM,A-Novice Class,Main Building - Classroom,
,ON TRACK - AM,8:30 AM - 8:55 AM,C/D,Full Course Yellow - First 2 Laps,
,,8:55 AM - 9:20 AM,B,Full Course Yellow - First 2 Laps,
,,9:20 AM - 9:50 AM,A,Full Course Yellow - First 2 Laps,
,,10:00 AM - 10:35 AM,A-Novice Class,Main Building - Classroom,
,,9:50 AM - 10:15 AM,C/D,,
,,10:15 AM - 10:40 AM,B,,
,,10:40 AM - 11:10 AM,A,,
,,11:10 AM - 11:35 AM,C/D,,
,,11: 20 AM - 11:55 AM,A-Novice Class,Main Building - Classroom,
,,11:35 AM - 12:00 PM,B,,
,Lunch,12:00 PM - 1:00 PM,All,Bring Your Own,
,ON TRACK - PM,1:00 PM - 1:30 PM,A,,
,,1:30 PM - 1:55 PM,C/D,,
,,1:55 PM - 2:20 PM,B,,
,,2:20 PM - 2:50 PM,A,,
,,2:50 PM - 3:10 PM,C/D,,
,,3:10 PM - 3:30 PM,B,,
,,3:30 PM - 4:00 PM,A,,
,,4:00 PM - 5:00 PM,"Happy Hour (B, C, D)",,
,Track Cold - Event End for day - 5:00PM,,,,
,Dinner Buffet,6:00-7:30,Tent/Trailer,All invited,
,"* Please note session times can change based on unexpected delays (such as weather, towing cars, etc)",,,,
,,,,,
,* Please return any rental helmets at end of day!,,,,