Thursday,,5PM – 7PM Techistration – Tech Pavilion,,,
Friday,,7am-7pm Techistration – Tech Pavilion,,,
7:15 AM,,All Drivers Meeting At Driver Info,,,
7:30 AM,,All Worker's Meeting At NASA Trailer,,,
Start,,Track,Classroom,,
8:00 AM,30,HPDE,Instructor Clinic,,HPDE = Point By Passing
8:30 AM,30,Test & Tune,,,Test & Tune = No Point By Passing
9:00 AM,30,HPDE & IC,,,
9:30 AM,30,Test & Tune,Instructor Clinic,,
10:00 AM,30,HPDE & IC,,,
10:30 AM,30,Test & Tune,Instructor Clinic,,
11:00 AM,30,HPDE & IC,,,
11:30 AM,30,Test & Tune,Instructor Clinic,,
12:00 PM,60,Lunch,,,
1:00 PM,30,HPDE & IC,,,
1:30 PM,30,Test & Tune,Instructor Clinic,,
2:00 PM,30,HPDE & IC,,,
2:30 PM,30,Test & Tune,,,
3:00 PM,30,HPDE,Instructor Clinic in Field,,
3:30 PM,30,Test & Tune,,,
4:00 PM,30,HPDE & IC,,,
4:30 PM,30,Test & Tune,,,
7:00AM – 7:00PM Techistration – Tech Pavilion,,,,,
,,,,,
Saturday,,7am-9am Techistration – Tech Pavilion,,,
7:15 AM,,HPDE Meeting At Tech Pavilion,,,
7:30 AM,,Instructors and Time Trial Meeting at Garages,,,ALL RACERS – Meet with your Series Leader
7:30 AM,,All Worker's Meeting At NASA Trailer,,,At 7:30am to get your on-track wristband
Start,,Track,Classroom,,
8:00 AM,20,HPDE 3* & 4,HPDE 1,,
8:20 AM,15,"TT Alpha (TTU/a,1-3)",,,
8:35 AM,15,"TT Omega (TTU/b, 4-6)",,,
8:50 AM,20,ALL RACERS WARMUP,,,
9:10 AM,20,HPDE 2,,,
9:30 AM,20,HPDE 1,,,
9:50 AM,20,Thunder Qualifying,,,
10:10 AM,20,HPDE 3* & 4,HPDE 2,,
10:30 AM,20,"TT Alpha (TTU/a,1-3)",,,
10:50 AM,20,"TT Omega (TTU/b, 4-6)",,,
11:10 AM,20,Lightning Qualifying,,,
11:30 AM,20,HPDE 3* & 4,,,
11:50 AM,60,Lunch,HPDE 2,,
12:50 PM,20,HPDE 2,,,12 All Racers Meeting
1:10 PM,20,HPDE 1,,,12:15 All TT Drivers Meeting
1:30 PM,30,Thunder Race #1,,,
2:00 PM,15,"TT Alpha (TTU/a,1-3)",,,
2:15 PM,15,"TT Omega (TTU/b, 4-6)",HPDE 3,,
2:30 PM,20,HPDE 2,,,*when HPDE 3 & 4 are on track Saturday you
2:50 PM,20,HPDE 1,,,abide by HPDE 3 rules – Point By REQUIRED
3:10 PM,30,Lightning Race #1,,,
3:40 PM,20,HPDE 4,HPDE 1,,
4:00 PM,20,HPDE 3 & 4,,,
4:20 PM,20,HPDE 2,,,
4:40 PM,20,HPDE 1,,,
5:00 PM,,Series Awards/Dinner,,,
,,,,,
Sunday,,,,,
,,7:30am-9am Techistration – Tech Pavilion,,,
7:30 AM,15,ALL WORKERS MEETING,,,
Time,,Track,Classroom,,
8:00 AM,20,HPDE 1 & 2,,,
8:20 AM,20,"TT Alpha (TTU/a,1-3)",HPDE 1,,
8:40 AM,20,"TT Omega (TTU/b, 4-6)",,,
9:00 AM,20,HPDE 4* & 3,,,
9:20 AM,30,Lightning Race #2,,,
9:50 AM,20,HPDE 1,,,
10:10 AM,30,Thunder Race #2,,,
10:40 AM,20,HPDE 3: Drills #2,HPDE 2,,*NO race engines started or loud cars 11A-12P
11:00 AM,60,Lunch and Quiet Hour*,,,11:00 All Racers Meeting
12:00 PM,20,HPDE 1,HPDE 3,,11:15 All TT Drivers Meeting
12:20 PM,20,HPDE 2,,,
12:40 PM,15,"TT Alpha (TTU/a,1-3)",,,
12:55 PM,15,"TT Omega (TTU/b, 4-6)",,,
1:10 PM,30,Lightning Race #3,,,
1:40 PM,20,HPDE 4,,,
2:00 PM,20,HPDE 2,,,
2:20 PM,20,HPDE 1,,,*when HPDE 3 & 4 are on track Sunday you abide
2:40 PM,34,Thunder Race #3,,,by HPDE 4 rules – point by optional
3:14 PM,15,"TT Alpha (TTU/a,1-3)",,,
3:35 PM,21,HPDE 4* & 3,,,
3:50 PM,16,"TT Omega (TTU/b, 4-6)",,,
4:06 PM,18,HPDE 2,,,
4:24 PM,18,HPDE 1,,,
4:42 PM,19,HPDE 4* & 3,,,