Thurs,,5:00PM – 700PM Techistration – Tech Pavilion,,,
Friday,,7am-7pm Techistration – Tech Pavilion,,,
7:15 AM,,All Drivers Meeting At Driver Info,,,
7:30 AM,,All Worker's Meeting At NASA Trailer,,,
Start,,Track,Classroom,Toyota,
8:00 AM,20,HPDE,Competition School,Classroom,
8:20 AM,20,Test/Tune,,,HPDE = Point By Passing
8:40 AM,20,HPDE 1 & Intro/Toyota,,On Track,Test & Tune = No Point By Passing
9:00 AM,20,HPDE,,Classroom,
9:20 AM,20,Test/Tune & Comp School,,,
9:40 AM,20,HPDE 1 & Intro/Toyota,Competition School,On Track,
10:00 AM,20,HPDE,,,Toyota classroom in trailer near maintenance
10:20 AM,20,Test/Tune & Comp School,,,Comp School classroom location turn 4 trailer
10:40 AM,20,HPDE 1 & Intro/Toyota,Competition School,On Track,
11:00 AM,20,HPDE,,,
11:20 AM,20,Test/Tune & Comp School,,,
11:40 AM,20,HPDE 1 & Intro/Toyota,Competition School,On Track,
12:00 PM,60,Lunch,,,
1:00 PM,20,HPDE,,,
1:20 PM,20,Test/Tune & Comp School,,,
1:40 PM,20,HPDE 1 & Intro/Toyota,Competition School,On Track,
2:00 PM,20,HPDE,,,
2:20 PM,20,Test/Tune,,,
2:40 PM,20,Mock Race #1,,,
3:00 PM,20,HPDE 1 & Intro/Toyota,Competition School,On Track,
3:20 PM,20,HPDE,,,
3:40 PM,20,Test/Tune,,,
4:00 PM,20,Mock Race #2,,,
4:20 PM,20,HPDE 1 & Intro/Toyota,Competition School,On Track,
4:40 PM,20,Test/Tune,,,
7:00AM – 7:00PM Techistration – Tech Pavilion,,,,,
,,,,,
Saturday,,7am-9am Techistration – Tech Pavilion,,,
7:15 AM,,HPDE Meeting At Tech Pavilion,,,
7:30 AM,,Instructors and Time Trial Meeting at Tech,,,ALL RACERS – Meet with your Series Leader
7:30 AM,,All Worker's Meeting At NASA Trailer,,,At 7:30am to get your on-track wristband
Start,,Track,Classroom,,
8:00 AM,20,HPDE 3* & 4,HPDE 1 ,,
8:20 AM,15,"TT Alpha (TTU/a,1-3)",,,
8:35 AM,30,"TT Omega (TTU/b, 4-6)",,,
9:05 AM,25,ALL RACERS WARMUP,,,
9:30 AM,20,HPDE 2,,,
9:50 AM,20,HPDE 1,,,
10:10 AM,20,Thunder Qualifying,,,
10:30 AM,25,HPDE 3* & 4,,,
10:55 AM,15,"TT Alpha (TTU/a,1-3)",HPDE 2,,
11:10 AM,21,"TT Omega (TTU/b, 4-6)",,,
11:31 AM,16,Lightning Qualifying,HPDE 1,,
11:47 AM,18,HPDE 2,,,
12:05 PM,0,HPDE 3* & 4,,,
12:05 PM,55,Lunch,HPDE 2,,12:05 All Racers Meeting
1:00 PM,20,HPDE 3* & 4,,,12:15 All TT Drivers Meeting
1:20 PM,20,HPDE 1,,,
1:40 PM,30,Thunder Race #1,,,
2:10 PM,30,TT ALL,HPDE 3,,
2:40 PM,20,HPDE 2,,,*when HPDE 3 & 4 are on track Saturday you
3:00 PM,20,HPDE 1,,,abide by HPDE 3 rules – Point By REQUIRED
3:20 PM,28,Lightning Race #1,,,
3:48 PM,18,HPDE 3 : Drills #1,,,
4:06 PM,18,HPDE 4,,,
4:24 PM,18,HPDE 2,,,
4:42 PM,18,HPDE 1,,,
5:00 PM,,Series Awards,,,FREE Pasta dinner for everyone in Concession area
,,,,,
Sunday,,,,,
,,7am-9am Techistration – Tech Pavilion,,,
7:30 AM,15,ALL WORKERS MEETING,,,
Time,,Track,Classroom- WEST,,
8:00 AM,20,HPDE 2,HPDE 1,,
8:20 AM,20,HPDE 4* & 3,,,
8:40 AM,15,"TT Alpha (TTU/a,1-3)",,,
8:55 AM,15,"TT Omega (TTU/b, 4-6)",HPDE 2,,WEST classroom location
9:10 AM,30,Lightning Race #2,,,
9:40 AM,20,HPDE 1,,,
10:00 AM,30,Thunder Race #2,,,
10:30 AM,15,"TT Alpha (TTU/a,1-3)",,,
10:45 AM,15,"TT Omega (TTU/b, 4-6)",,,
11:00 AM,60,Lunch,HPDE 3,,11:00 All Racers Meeting
12:00 PM,20,HPDE 1 ,,,11:15 All TT Drivers Meeting
12:20 PM,20,HPDE 2,,,
12:40 PM,20,HPDE 3,,,
1:00 PM,20,HPDE 4,,,
1:20 PM,30,Lightning Race #3,,,
1:50 PM,20,HPDE 1,,,*when HPDE 3 & 4 are on track Sunday you abide
2:10 PM,20,HPDE 2,,,by HPDE 4 rules – point by optional
2:30 PM,30,Thunder Race #3,,,
3:00 PM,20,"TT Alpha (TTU/a,1-3)",,,
3:20 PM,20,"TT Omega (TTU/b, 4-6)",,,
3:40 PM,20,HPDE 4* & 3,,,
4:00 PM,20,HPDE 2,,,
4:20 PM,20,HPDE 1,,,
4:40 PM,20,HPDE 4* & 3 & TT Drivers,,,